0,T cells
1,Alveolar type 2
2,Macrophages
3,Macrophages
4,Plasma cells
5,Macrophages
6,Alveolar type 2
7,Macrophages
8,Macrophages
9,Macrophages
10,Macrophages
11,Ciliated cells
12,Dendritic cells
13,Macrophages
14,Goblet/Club cells
15,Endothelial cells
16,B cells
17,Proliferating cells
18,B cells
19,Alveolar type 2
20,Macrophages
21,Basal cells
22,B cells
23,Goblet/Club cells
24,Macrophages
25,Mast cells
26,Macrophages
27,Macrophages
28,Macrophages
29,Macrophages
30,Macrophages
31,Mesenchymal cells
32,Alveolar type 2
33,Smooth muscle cells
34,T cells
35,Endothelial cells
36,Macrophages
37,Macrophages
38,Plasma cells
39,Endothelial cells
40,Macrophages
41,Macrophages
42,Mesenchymal cells